time,speed,altitude,fuel_level
0,0.1000002,126,100
0.02,0.2000004,126,99.998
0.0817404,0.500001,125.9999,99.99183
0.1024837,0.6000012,125.9999,99.98975
0.1098851,0.6000012,125.9999,99.98901
0.119041,0.6000012,125.9999,99.9881
0.1268918,0.7000013,125.9999,99.98731
0.1353177,0.7000013,125.9999,99.98647
0.1429053,0.8000016,125.9998,99.98571
0.1525001,0.8000016,125.9998,99.98475
0.1723453,0.9000018,125.9998,99.98277
0.1820392,1.000002,125.9998,99.9818
0.1901925,1.000002,125.9998,99.98098
0.1983822,1.000002,125.9998,99.98016
0.2076537,1.100002,125.9997,99.97923
0.2171985,1.100002,125.9997,99.97828
0.2253098,1.200002,125.9997,99.97747
0.2344963,1.200002,125.9997,99.97655
0.2431949,1.300003,125.9996,99.97568
0.2516821,1.300003,125.9996,99.97483
0.2603754,1.400003,125.9996,99.97396
0.2689445,1.400003,125.9996,99.97311
0.2771028,1.400003,125.9996,99.97229
0.2851605,1.500003,125.9995,99.97148
0.2943996,1.500003,125.9995,99.97056
0.3027809,1.600003,125.9995,99.96972
0.3270801,1.700004,125.9994,99.96729
0.3449443,1.800004,125.9993,99.96551
0.3547211,1.800004,125.9993,99.96453
0.3620096,1.900004,125.9992,99.9638
0.370451,1.900004,125.9992,99.96295
0.378003,1.900004,125.9992,99.9622
0.3860335,2.000004,125.9992,99.9614
0.3941161,2.000004,125.9992,99.96059
0.402729,2.100004,125.9991,99.95972
0.4120625,2.100004,125.9991,99.95879
0.4203769,2.200004,125.999,99.95796
0.4326425,2.200004,125.999,99.95673
0.4404318,2.300004,125.9989,99.95596
0.4491503,2.300004,125.9989,99.95509
0.4575228,2.300004,125.9989,99.95425
0.4739617,2.400005,125.9988,99.95261
0.4821526,2.500005,125.9987,99.95178
0.4898245,2.500005,125.9987,99.95102
0.497435,2.500005,125.9987,99.95026
0.5051847,2.600005,125.9986,99.94948
0.5137269,2.600005,125.9986,99.94862
0.5208791,2.700005,125.9985,99.94791
0.5288051,2.700005,125.9985,99.94712
0.5356839,2.700005,125.9985,99.94643
0.5439472,2.800005,125.9984,99.9456
0.5519451,2.800005,125.9984,99.94481
0.5603407,2.900005,125.9983,99.94397
0.5677062,2.900005,125.9983,99.94323
0.5756284,2.900005,125.9983,99.94244
0.5833462,3.000005,125.9981,99.94167
0.5911579,3.000005,125.9981,99.94089
0.598979,3.000005,125.9981,99.9401
0.6065902,3.100005,125.998,99.93934
0.6154322,3.100005,125.998,99.93845
0.6304727,3.200006,125.9979,99.93695
0.6384764,3.200006,125.9979,99.93615
0.646287,3.300006,125.9977,99.93537
0.6549335,3.300006,125.9977,99.93451
0.6627963,3.400006,125.9976,99.93372
0.6702156,3.400006,125.9976,99.93298
0.6780486,3.400006,125.9976,99.9322
0.6854803,3.500006,125.9975,99.93145
0.6932771,3.500006,125.9975,99.93067
0.7012788,3.600006,125.9973,99.92987
0.7090972,3.600006,125.9973,99.92909
0.7165454,3.600006,125.9973,99.92834
0.7244101,3.700006,125.9972,99.92756
0.7335074,3.700006,125.9972,99.92665
0.7408748,3.800006,125.997,99.92591
0.7490976,3.800006,125.997,99.92509
0.7569515,3.800006,125.997,99.9243
0.7650002,3.900006,125.9969,99.9235
0.772759,3.900006,125.9969,99.92272
0.7890279,4.000006,125.9967,99.9211
0.7973047,4.000006,125.9967,99.92027
0.8047978,4.100007,125.9966,99.91952
0.8126943,4.100007,125.9966,99.91873
0.8229148,4.200007,125.9964,99.91771
0.8309778,4.200007,125.9964,99.9169
0.839554,4.200007,125.9964,99.91605
0.8470447,4.300007,125.9962,99.9153
0.8552306,4.300007,125.9962,99.91447
0.8625017,4.400007,125.996,99.91375
0.8706865,4.400007,125.996,99.91293
0.8781322,4.400007,125.996,99.91219
0.8864454,4.500007,125.9959,99.91135
0.8944487,4.500007,125.9959,99.91055
0.902292,4.600007,125.9957,99.90977
0.9094537,4.600007,125.9957,99.90906
0.917953,4.600007,125.9957,99.9082
0.9255706,4.700007,125.9955,99.90744
0.9441479,4.800007,125.9953,99.90559
0.9524925,4.800007,125.9953,99.90475
0.9608761,4.900008,125.9951,99.90392
0.9695337,4.900008,125.9951,99.90305
0.978263,4.900008,125.9951,99.90218
0.9854059,5.000008,125.9949,99.90146
0.9949671,5.000008,125.9949,99.90051
1.003214,5.100008,125.9947,99.89968
1.01219,5.100008,125.9947,99.89878
1.019297,5.100008,125.9947,99.89807
1.028361,5.200008,125.9945,99.89716
1.036244,5.200008,125.9945,99.89638
1.044449,5.300008,125.9943,99.89555
1.051851,5.300008,125.9943,99.89481
1.059053,5.300008,125.9943,99.8941
