Flight time,Speed,Altitude,FuelLevel,WeatherConditions
17:53:00,0.0,0.0,100.0,foggy
17:53:00,0.25,6.0,99.99,foggy
17:53:01,0.5,12.0,99.98,foggy
17:53:02,0.75,18.0,99.97,foggy
17:53:02,1.0,24.0,99.96,foggy
17:53:03,1.25,30.0,99.95,foggy
17:53:04,1.5,36.0,99.94,foggy
17:53:05,1.75,42.0,99.93,foggy
17:53:05,2.0,48.0,99.92,foggy
17:53:06,2.25,54.0,99.91,foggy
17:53:07,2.5,60.0,99.9,foggy
17:53:08,2.75,66.0,99.89,foggy
17:53:08,3.0,72.0,99.88,foggy
17:53:09,3.25,78.0,99.87,foggy
17:53:10,3.5,84.0,99.86,foggy
17:53:11,3.75,90.0,99.85,foggy
17:53:11,4.0,96.0,99.84,foggy
17:53:12,4.25,102.0,99.83,foggy
17:53:13,4.5,108.0,99.82,foggy
17:53:14,4.75,114.0,99.81,foggy
17:53:14,5.0,120.0,99.8,foggy
17:53:15,5.25,126.0,99.79,foggy
17:53:16,5.5,132.0,99.78,foggy
17:53:17,5.75,138.0,99.77,foggy
17:53:17,6.0,144.0,99.76,foggy
17:53:18,6.25,150.0,99.75,foggy
17:53:19,6.5,156.0,99.74,foggy
17:53:20,6.75,162.0,99.73,foggy
17:53:20,7.0,168.0,99.72,foggy
17:53:21,7.25,174.0,99.71,foggy
17:53:22,7.5,180.0,99.7,foggy
17:53:23,7.75,186.0,99.69,foggy
17:53:23,8.0,192.0,99.68,foggy
17:53:24,8.25,198.0,99.67,foggy
17:53:25,8.5,204.0,99.66,foggy
17:53:26,8.75,210.0,99.65,foggy
17:53:26,9.0,216.0,99.64,foggy
17:53:27,9.25,222.0,99.63,foggy
17:53:28,9.5,228.0,99.62,foggy
17:53:29,9.75,234.0,99.61,foggy
17:53:29,10.0,240.0,99.6,foggy
17:53:30,10.25,246.0,99.59,foggy
17:53:31,10.5,252.0,99.58,foggy
17:53:31,10.75,258.0,99.57,foggy
17:53:32,11.0,264.0,99.56,foggy
17:53:33,11.25,270.0,99.55,foggy
17:53:34,11.5,276.0,99.54,foggy
17:53:34,11.75,282.0,99.53,foggy
17:53:35,12.0,288.0,99.52,foggy
17:53:36,12.25,294.0,99.51,foggy
17:53:37,12.5,300.0,99.5,foggy
17:53:37,12.75,306.0,99.49,foggy
17:53:38,13.0,312.0,99.48,foggy
17:53:39,13.25,318.0,99.47,foggy
17:53:40,13.5,324.0,99.46,foggy
17:53:40,13.75,330.0,99.45,foggy
17:53:41,14.0,336.0,99.44,foggy
17:53:42,14.25,342.0,99.43,foggy
17:53:43,14.5,348.0,99.42,foggy
17:53:43,14.75,354.0,99.41,foggy
17:53:44,15.0,360.0,99.4,foggy
17:53:45,15.25,366.0,99.39,foggy
17:53:46,15.5,372.0,99.38,foggy
17:53:46,15.75,378.0,99.37,foggy
17:53:47,16.0,384.0,99.36,foggy
17:53:48,16.25,390.0,99.35,foggy
17:53:49,16.5,396.0,99.34,foggy
17:53:49,16.75,402.0,99.33,foggy
17:53:50,17.0,408.0,99.32,foggy
17:53:51,17.25,414.0,99.31,foggy
17:53:52,17.5,420.0,99.3,foggy
17:53:52,17.75,426.0,99.29,foggy
17:53:53,18.0,432.0,99.28,foggy
